[Shared Parameters]

Parameter Name,Olin Basic [022119.165032839], 
Saved by,Matt, 
Laboratory,Mat Sci, 
Customer,CEAST Lab, 
Comment,, 
Date,2/21/2019 4:50:32 PM, 
Test Type,Puncture, 
Standard,CUSTOMIZED STANDARD, 
No.Specimen,8, 
Clamped,no, 
Support Diameter,80.000,mm
Applied weight,0.000,kg
Impact Energy,30.611,J
Impact Velocity,4.429,m/s
Impact Height,1000.000,mm
Sampling Freq.,1000.000,kHz
Points No.,5000, 
Trigger Level,10.0,%
Trigger Type,Internal (digital), 
PreTrigger Points,100, 
Total Point,5, 
Working Range,45000000.000,%
Carriage Mass,2.500,kg
Data Type,Instrumented, 
Clamping Use,no, 
Striker Range,45000.000,N
Clamping Force,?, 
Standard,CUSTOMIZED STANDARD, 
Support Type,Clamp, 
Ring diameter,0.000,mm
Use conditioning restart,no, 
Use specimen temperature wait,no, 
Use temperature maintenance after test,no, 

[Shared Data]

Test Name,Pink 6x8 A 1m 1st,
Instrument,Data Screen,
Instrument Type,<INST_DT40>,
Data Type,Instrumented,
No.Specs.,1,
Date,2/21/2019 4:49:33 PM,
Date Last Mod.,2/24/2019 9:38:49 PM,
Operator,Flynn,
Comment,,
Clamping Force,,

[Step [1] Data]

Discard, ,
Manual, ,
N. Step data,1,
Thickness,25.000,mm
Percentage Energy,38.87,%
Slow Down,114.21,%
Velocity Variation,5.037,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,,
Peak Force,3840.863,N
Peak Energy,19.106,J
Total Energy,31.257,J
Peak Displacement,47.484,mm
Total Displacement,49.694,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.467,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Minimum]

Discard,Min,
Manual,---,
N. Step data,---,
Thickness,25.000,mm
Percentage Energy,38.87,%
Slow Down,114.21,%
Velocity Variation,5.037,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,---,
Peak Force,3840.863,N
Peak Energy,19.106,J
Total Energy,31.257,J
Peak Displacement,47.484,mm
Total Displacement,49.694,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.467,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Maximum]

Discard,Max,
Manual,---,
N. Step data,---,
Thickness,25.000,mm
Percentage Energy,38.87,%
Slow Down,114.21,%
Velocity Variation,5.037,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,---,
Peak Force,3840.863,N
Peak Energy,19.106,J
Total Energy,31.257,J
Peak Displacement,47.484,mm
Total Displacement,49.694,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.467,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Average]

Discard,Avg,
Manual,---,
N. Step data,---,
Thickness,25.000,mm
Percentage Energy,38.87,%
Slow Down,114.21,%
Velocity Variation,5.037,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,---,
Peak Force,3840.863,N
Peak Energy,19.106,J
Total Energy,31.257,J
Peak Displacement,47.484,mm
Total Displacement,49.694,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.467,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Standard Deviation]

Discard,StdDev,
Manual,---,
N. Step data,---,
Thickness,0.000,mm
Percentage Energy,0.00,%
Slow Down,0.00,%
Velocity Variation,0.000,m/s
Total Mass,0.000,kg
Impact Height (Nominal),0.000,mm
Impact Velocity (Nominal),0.000,m/s
Impact Energy (Nominal),0.000,J
Specimen ID,---,
Peak Force,0.000,N
Peak Energy,0.000,J
Total Energy,0.000,J
Peak Displacement,0.000,mm
Total Displacement,0.000,mm
Start Velocity,0.000,m/s
Yield Energy,0.000,J
Yield Force,0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,0.000,mV
Yield Velocity,0.000,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Variance]

Discard,Var,
Manual,---,
N. Step data,---,
Thickness,0.000,mm
Percentage Energy,0.00,%
Slow Down,0.00,%
Velocity Variation,0.000,m/s
Total Mass,0.000,kg
Impact Height (Nominal),0.000,mm
Impact Velocity (Nominal),0.000,m/s
Impact Energy (Nominal),0.000,J
Specimen ID,---,
Peak Force,0.000,N
Peak Energy,0.000,J
Total Energy,0.000,J
Peak Displacement,0.000,mm
Total Displacement,0.000,mm
Start Velocity,0.000,m/s
Yield Energy,0.000,J
Yield Force,0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,0.000,mV
Yield Velocity,0.000,m/s
Yield Time,0.000,ms
Yield Percent,---,%

