[Pink 6x8 A 1m 1st]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,4.410000,-1.466516
2,0.001000,109.904214,0.000242,0.004410,4.409992,-0.999332
3,0.002000,104.119782,0.000714,0.008820,4.409968,-1.023920
4,0.003000,150.395241,0.001275,0.013230,4.409937,-0.827211
5,0.004000,295.006049,0.002258,0.017640,4.409875,-0.212495
6,0.005000,352.850373,0.003686,0.022050,4.409781,0.033392
7,0.006000,566.874370,0.005714,0.026459,4.409644,0.943172
8,0.007000,642.071990,0.008379,0.030869,4.409460,1.262825
9,0.008000,832.958258,0.011631,0.035278,4.409233,2.074251
10,0.009000,1000.706796,0.015674,0.039687,4.408949,2.787322
11,0.010000,1151.102037,0.020417,0.044096,4.408614,3.426627
12,0.011000,1359.341601,0.025951,0.048505,4.408222,4.311818
13,0.012000,1428.754789,0.032096,0.052913,4.407785,4.606882
14,0.013000,1579.150030,0.038724,0.057320,4.407313,5.246187
15,0.014000,1654.347651,0.045849,0.061727,4.406805,5.565840
16,0.015000,1723.760839,0.053292,0.066134,4.406274,5.860904
17,0.016000,1839.449486,0.061142,0.070540,4.405712,6.352677
18,0.017000,1798.958459,0.069156,0.074945,4.405139,6.180556
19,0.018000,1908.862674,0.077323,0.079350,4.404555,6.647741
20,0.019000,1856.802783,0.085615,0.083754,4.403962,6.426443
21,0.020000,1822.096189,0.093715,0.088158,4.403382,6.278911
22,0.021000,1816.311757,0.101725,0.092561,4.402809,6.254322
23,0.022000,1671.700948,0.109404,0.096964,4.402260,5.639606
24,0.023000,1694.838677,0.116813,0.101366,4.401731,5.737960
25,0.024000,1567.581166,0.123993,0.105767,4.401218,5.197010
26,0.025000,1521.305707,0.130790,0.110168,4.400733,5.000301
27,0.026000,1515.521274,0.137472,0.114568,4.400256,4.975712
28,0.027000,1411.401492,0.143911,0.118969,4.399797,4.533116
29,0.028000,1503.952410,0.150324,0.123368,4.399340,4.926535
30,0.029000,1434.539222,0.156788,0.127767,4.398879,4.631471
31,0.030000,1492.383545,0.163225,0.132166,4.398420,4.877357
32,0.031000,1503.952410,0.169814,0.136564,4.397949,4.926535
33,0.032000,1486.599113,0.176390,0.140962,4.397480,4.852769
34,0.033000,1532.874572,0.183029,0.145359,4.397006,5.049478
35,0.034000,1503.952410,0.189705,0.149756,4.396529,4.926535
36,0.035000,1509.736842,0.196329,0.154152,4.396056,4.951123
37,0.036000,1486.599113,0.202915,0.158548,4.395586,4.852769
38,0.037000,1475.030248,0.209424,0.162943,4.395121,4.803591
39,0.038000,1440.323654,0.215830,0.167338,4.394664,4.656059
40,0.039000,1399.832628,0.222070,0.171733,4.394219,4.483939
41,0.040000,1411.401492,0.228247,0.176127,4.393778,4.533116
42,0.041000,1370.910466,0.234359,0.180520,4.393343,4.360996
43,0.042000,1336.203872,0.240305,0.184913,4.392919,4.213464
44,0.043000,1313.066142,0.246124,0.189306,4.392504,4.115109
45,0.044000,1266.790684,0.251790,0.193698,4.392101,3.918400
46,0.045000,1249.437387,0.257315,0.198090,4.391707,3.844634
47,0.046000,1220.515225,0.262739,0.202482,4.391321,3.721691
48,0.047000,1191.593063,0.268035,0.206873,4.390945,3.598747
49,0.048000,1191.593063,0.273267,0.211264,4.390573,3.598747
50,0.049000,1180.024198,0.278473,0.215654,4.390203,3.549570
51,0.050000,1168.455334,0.283628,0.220044,4.389836,3.500393
52,0.051000,1156.886469,0.288731,0.224434,4.389473,3.451215
53,0.052000,1139.533172,0.293771,0.228823,4.389115,3.377449
54,0.053000,1168.455334,0.298836,0.233212,4.388755,3.500393
55,0.054000,1174.239766,0.303977,0.237600,4.388390,3.524981
56,0.055000,1185.808631,0.309155,0.241989,4.388022,3.574159
57,0.056000,1180.024198,0.314345,0.246376,4.387652,3.549570
58,0.057000,1197.377495,0.319561,0.250764,4.387281,3.623336
59,0.058000,1208.946360,0.324839,0.255151,4.386906,3.672513
60,0.059000,1203.161928,0.330130,0.259538,4.386529,3.647925
61,0.060000,1220.515225,0.335445,0.263924,4.386151,3.721691
62,0.061000,1249.437387,0.340862,0.268310,4.385765,3.844634
63,0.062000,1255.221819,0.346354,0.272696,4.385373,3.869222
64,0.063000,1266.790684,0.351884,0.277081,4.384979,3.918400
65,0.064000,1272.575116,0.357451,0.281466,4.384582,3.942988
66,0.065000,1255.221819,0.362992,0.285850,4.384187,3.869222
67,0.066000,1289.928413,0.368571,0.290234,4.383789,4.016754
68,0.067000,1249.437387,0.374137,0.294618,4.383392,3.844634
69,0.068000,1278.359548,0.379677,0.299001,4.382997,3.967577
70,0.069000,1255.221819,0.385229,0.303384,4.382601,3.869222
71,0.070000,1278.359548,0.390781,0.307766,4.382204,3.967577
72,0.071000,1347.772736,0.396534,0.312148,4.381794,4.262641
73,0.072000,1313.066142,0.402364,0.316530,4.381377,4.115109
74,0.073000,1440.323654,0.408395,0.320911,4.380946,4.656059
75,0.074000,1405.617060,0.414629,0.325291,4.380500,4.508528
76,0.075000,1475.030248,0.420938,0.329672,4.380048,4.803591
77,0.076000,1556.012301,0.427576,0.334051,4.379572,5.147833
78,0.077000,1556.012301,0.434390,0.338431,4.379083,5.147833
79,0.078000,1700.623110,0.441520,0.342810,4.378572,5.762549
80,0.079000,1694.838677,0.448953,0.347188,4.378037,5.737960
81,0.080000,1775.820730,0.456550,0.351566,4.377491,6.082202
