[Pink 6x8 A 1m 2nd]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,4.410000,-1.392750
2,0.001000,75.197620,0.000166,0.004410,4.409998,-1.073098
3,0.002000,138.826376,0.000638,0.008820,4.409973,-0.802622
4,0.003000,150.395241,0.001275,0.013230,4.409937,-0.753445
5,0.004000,341.281508,0.002360,0.017640,4.409868,0.057981
6,0.005000,358.634805,0.003903,0.022050,4.409765,0.131747
7,0.006000,590.012099,0.005994,0.026459,4.409623,1.115293
8,0.007000,723.054043,0.008889,0.030869,4.409423,1.680832
9,0.008000,885.018149,0.012435,0.035278,4.409175,2.369314
10,0.009000,1087.473281,0.016783,0.039687,4.408869,3.229917
11,0.010000,1191.593063,0.021807,0.044096,4.408513,3.672513
12,0.011000,1394.048195,0.027506,0.048504,4.408109,4.533116
13,0.012000,1457.676951,0.033791,0.052912,4.407662,4.803591
14,0.013000,1613.856624,0.040560,0.057320,4.407180,5.467485
15,0.014000,1694.838677,0.047850,0.061726,4.406659,5.811726
16,0.015000,1758.467433,0.055459,0.066133,4.406116,6.082202
17,0.016000,1856.802783,0.063423,0.070539,4.405547,6.500209
18,0.017000,1845.233918,0.071577,0.074944,4.404963,6.451031
19,0.018000,1868.371648,0.079756,0.079349,4.404378,6.549386
20,0.019000,1862.587215,0.087971,0.083753,4.403790,6.524797
21,0.020000,1798.958460,0.096033,0.088156,4.403213,6.254322
22,0.021000,1770.036298,0.103890,0.092559,4.402652,6.131379
23,0.022000,1683.269813,0.111492,0.096961,4.402108,5.762549
24,0.023000,1608.072192,0.118736,0.101363,4.401591,5.442896
25,0.024000,1544.443436,0.125673,0.105765,4.401095,5.172421
26,0.025000,1457.676951,0.132279,0.110166,4.400624,4.803591
27,0.026000,1434.539222,0.138643,0.114566,4.400171,4.705237
28,0.027000,1422.970357,0.144929,0.118966,4.399723,4.656059
29,0.028000,1422.970357,0.151189,0.123365,4.399277,4.656059
30,0.029000,1469.245816,0.157551,0.127764,4.398823,4.852769
31,0.030000,1457.676951,0.163988,0.132163,4.398364,4.803591
32,0.031000,1498.167977,0.170488,0.136561,4.397900,4.975712
33,0.032000,1503.952410,0.177089,0.140959,4.397429,5.000301
34,0.033000,1503.952410,0.183703,0.145356,4.396957,5.000301
35,0.034000,1521.305707,0.190353,0.149753,4.396482,5.074067
36,0.035000,1463.461383,0.196914,0.154149,4.396014,4.828180
37,0.036000,1475.030248,0.203373,0.158545,4.395553,4.877357
38,0.037000,1434.539222,0.209767,0.162940,4.395096,4.705237
39,0.038000,1411.401492,0.216021,0.167335,4.394650,4.606882
40,0.039000,1394.048195,0.222185,0.171729,4.394211,4.533116
41,0.040000,1365.126034,0.228247,0.176123,4.393778,4.410173
42,0.041000,1336.203872,0.234181,0.180517,4.393356,4.287230
43,0.042000,1307.281710,0.239987,0.184910,4.392942,4.164286
44,0.043000,1301.497278,0.245717,0.189303,4.392534,4.139698
45,0.044000,1214.730792,0.251243,0.193695,4.392140,3.770868
46,0.045000,1220.515225,0.256591,0.198087,4.391760,3.795456
47,0.046000,1174.239766,0.261849,0.202479,4.391386,3.598747
48,0.047000,1156.886469,0.266968,0.206870,4.391023,3.524981
49,0.048000,1208.946360,0.272162,0.211261,4.390653,3.746279
50,0.049000,1122.179875,0.277279,0.215651,4.390290,3.377449
51,0.050000,1180.024198,0.282333,0.220041,4.389931,3.623336
52,0.051000,1133.748740,0.287411,0.224431,4.389570,3.426627
53,0.052000,1127.964307,0.292375,0.228820,4.389217,3.402038
54,0.053000,1203.161928,0.297490,0.233209,4.388854,3.721691
55,0.054000,1127.964307,0.302606,0.237598,4.388490,3.402038
56,0.055000,1214.730792,0.307746,0.241986,4.388124,3.770868
57,0.056000,1174.239766,0.312987,0.246374,4.387752,3.598747
58,0.057000,1180.024198,0.318152,0.250762,4.387384,3.623336
59,0.058000,1255.221819,0.323494,0.255149,4.387004,3.942988
60,0.059000,1174.239766,0.328823,0.259536,4.386624,3.598747
61,0.060000,1261.006251,0.334164,0.263922,4.386244,3.967577
62,0.061000,1237.868522,0.339644,0.268308,4.385854,3.869222
63,0.062000,1261.006251,0.345124,0.272694,4.385463,3.967577
64,0.063000,1284.143981,0.350704,0.277079,4.385065,4.065932
65,0.064000,1243.652954,0.356246,0.281464,4.384670,3.893811
66,0.065000,1301.497278,0.361826,0.285849,4.384272,4.139698
67,0.066000,1261.006251,0.367443,0.290233,4.383871,3.967577
68,0.067000,1278.359548,0.373009,0.294616,4.383474,4.041343
69,0.068000,1307.281710,0.378675,0.299000,4.383070,4.164286
70,0.069000,1266.790684,0.384316,0.303383,4.382667,3.992166
71,0.070000,1353.557169,0.390058,0.307765,4.382257,4.360996
72,0.071000,1353.557169,0.395989,0.312147,4.381833,4.360996
73,0.072000,1417.185925,0.402060,0.316529,4.381399,4.631471
74,0.073000,1480.814680,0.408408,0.320910,4.380945,4.901946
75,0.074000,1486.599113,0.414908,0.325291,4.380479,4.926535
76,0.075000,1556.012301,0.421571,0.329671,4.380002,5.221599
77,0.076000,1584.934463,0.428450,0.334051,4.379508,5.344542
78,0.077000,1648.563219,0.435530,0.338430,4.379000,5.615017
79,0.078000,1694.838677,0.442850,0.342809,4.378474,5.811726
80,0.079000,1729.545271,0.450346,0.347187,4.377935,5.959258
81,0.080000,1781.605162,0.458031,0.351564,4.377383,6.180556
82,0.081000,1775.820730,0.465817,0.355942,4.376823,6.155968
83,0.082000,1816.311757,0.473677,0.360318,4.376257,6.328088
84,0.083000,1833.665054,0.481664,0.364694,4.375682,6.401854
85,0.084000,1879.940512,0.489788,0.369069,4.375097,6.598563
86,0.085000,1885.724945,0.498025,0.373444,4.374503,6.623152
87,0.086000,1897.293809,0.506299,0.377818,4.373907,6.672329
88,0.087000,1943.569268,0.514698,0.382192,4.373302,6.869039
89,0.088000,1908.862674,0.523121,0.386565,4.372694,6.721507
90,0.089000,1972.491430,0.531607,0.390937,4.372082,6.991982
91,0.090000,1943.569268,0.540167,0.395309,4.371465,6.869039
92,0.091000,2001.413592,0.548789,0.399680,4.370842,7.114925
93,0.092000,2053.473483,0.557650,0.404051,4.370203,7.336223
94,0.093000,2088.180077,0.566699,0.408421,4.369549,7.483755
95,0.094000,2198.084291,0.576063,0.412790,4.368872,7.950939
96,0.095000,2238.575318,0.585754,0.417159,4.368171,8.123060
97,0.096000,2331.126235,0.595733,0.421526,4.367449,8.516479
98,0.097000,2371.617262,0.606002,0.425893,4.366705,8.688599
99,0.098000,2458.383747,0.616547,0.430260,4.365941,9.057429
100,0.099000,2516.228071,0.627405,0.434625,4.365154,9.303316
101,0.100000,2516.228071,0.638388,0.438990,4.364358,9.303316
102,0.101000,2568.287962,0.649482,0.443354,4.363553,9.524614
103,0.102000,2522.012503,0.660587,0.447717,4.362747,9.327904
104,0.103000,2562.503529,0.671677,0.452079,4.361942,9.500025
105,0.104000,2487.305909,0.682690,0.456441,4.361143,9.180372
106,0.105000,2510.443638,0.693587,0.460802,4.360352,9.278727
107,0.106000,2452.599315,0.704406,0.465162,4.359567,9.032840
108,0.107000,2412.108288,0.715009,0.469521,4.358798,8.860720
109,0.108000,2383.186127,0.725459,0.473879,4.358039,8.737777
110,0.109000,2348.479532,0.735768,0.478237,4.357291,8.590245
111,0.110000,2302.204074,0.745900,0.482594,4.356556,8.393535
112,0.111000,2267.497480,0.755853,0.486950,4.355833,8.246003
113,0.112000,2227.006453,0.765641,0.491306,4.355123,8.073883
114,0.113000,2209.653156,0.775301,0.495660,4.354422,8.000117
115,0.114000,2174.946562,0.784847,0.500014,4.353730,7.852585
116,0.115000,2146.024400,0.794252,0.504368,4.353047,7.729642
117,0.116000,2134.455536,0.803568,0.508721,4.352371,7.680464
118,0.117000,2093.964509,0.812769,0.513073,4.351704,7.508344
119,0.118000,2070.826780,0.821830,0.517424,4.351046,7.409989
120,0.119000,2076.611212,0.830853,0.521775,4.350392,7.434578
121,0.120000,1984.060295,0.839685,0.526125,4.349751,7.041159
122,0.121000,1960.922565,0.848264,0.530474,4.349129,6.942805
123,0.122000,1914.647106,0.856691,0.534823,4.348518,6.746095
124,0.123000,1868.371648,0.864916,0.539171,4.347921,6.549386
125,0.124000,1816.311757,0.872926,0.543519,4.347341,6.328088
126,0.125000,1781.605162,0.880746,0.547866,4.346774,6.180556
127,0.126000,1717.976407,0.888351,0.552212,4.346223,5.910081
128,0.127000,1700.623110,0.895780,0.556558,4.345685,5.836315
129,0.128000,1642.778786,0.903044,0.560904,4.345160,5.590428
130,0.129000,1596.503327,0.910081,0.565249,4.344650,5.393719
131,0.130000,1556.012301,0.916929,0.569593,4.344155,5.221599
132,0.131000,1515.521275,0.923600,0.573937,4.343673,5.049478
133,0.132000,1463.461383,0.930070,0.578280,4.343206,4.828180
134,0.133000,1446.108086,0.936388,0.582623,4.342749,4.754414
135,0.134000,1399.832628,0.942567,0.586966,4.342303,4.557705
136,0.135000,1388.263763,0.948620,0.591308,4.341866,4.508528
137,0.136000,1394.048195,0.954660,0.595650,4.341430,4.533116
138,0.137000,1376.694898,0.960674,0.599991,4.340996,4.459350
139,0.138000,1399.832628,0.966701,0.604332,4.340561,4.557705
140,0.139000,1359.341601,0.972688,0.608672,4.340129,4.385584
141,0.140000,1422.970357,0.978726,0.613012,4.339693,4.656059
142,0.141000,1388.263763,0.984826,0.617351,4.339252,4.508528
143,0.142000,1405.617060,0.990887,0.621690,4.338815,4.582294
144,0.143000,1428.754789,0.997036,0.626029,4.338370,4.680648
145,0.144000,1365.126034,1.003096,0.630367,4.337933,4.410173
146,0.145000,1457.676951,1.009218,0.634705,4.337490,4.803591
147,0.146000,1388.263763,1.015390,0.639042,4.337044,4.508528
148,0.147000,1446.108086,1.021536,0.643379,4.336600,4.754414
149,0.148000,1451.892519,1.027819,0.647715,4.336145,4.779003
150,0.149000,1434.539222,1.034077,0.652051,4.335693,4.705237
151,0.150000,1486.599113,1.040409,0.656387,4.335235,4.926535
152,0.151000,1422.970357,1.046716,0.660722,4.334778,4.656059
153,0.152000,1475.030248,1.052996,0.665056,4.334324,4.877357
154,0.153000,1451.892519,1.059339,0.669390,4.333865,4.779003
155,0.154000,1446.108086,1.065619,0.673724,4.333410,4.754414
156,0.155000,1492.383545,1.071985,0.678057,4.332949,4.951123
157,0.156000,1434.539222,1.078326,0.682390,4.332490,4.705237
158,0.157000,1527.090139,1.084741,0.686722,4.332025,5.098655
159,0.158000,1515.521275,1.091331,0.691054,4.331548,5.049478
160,0.159000,1550.227869,1.097970,0.695385,4.331066,5.197010
161,0.160000,1619.641057,1.104835,0.699716,4.330568,5.492074
162,0.161000,1613.856624,1.111836,0.704046,4.330060,5.467485
163,0.162000,1723.760839,1.119061,0.708376,4.329535,5.934670
164,0.163000,1746.898568,1.126574,0.712705,4.328989,6.033024
165,0.164000,1770.036298,1.134186,0.717034,4.328436,6.131379
166,0.165000,1833.665054,1.141984,0.721362,4.327868,6.401854
167,0.166000,1793.174027,1.149832,0.725690,4.327297,6.229734
168,0.167000,1845.233918,1.157704,0.730017,4.326724,6.451031
169,0.168000,1822.096189,1.165637,0.734343,4.326146,6.352677
170,0.169000,1804.742892,1.173482,0.738669,4.325575,6.278911
171,0.170000,1839.449486,1.181363,0.742995,4.325001,6.426443
172,0.171000,1781.605162,1.189193,0.747319,4.324430,6.180556
173,0.172000,1827.880621,1.196997,0.751643,4.323862,6.377265
174,0.173000,1758.467433,1.204750,0.755967,4.323297,6.082202
175,0.174000,1741.114136,1.212314,0.760290,4.322746,6.008436
176,0.175000,1752.683001,1.219865,0.764612,4.322196,6.057613
177,0.176000,1689.054245,1.227302,0.768934,4.321655,5.787138
178,0.177000,1717.976407,1.234664,0.773256,4.321119,5.910081
179,0.178000,1683.269813,1.242012,0.777577,4.320584,5.762549
180,0.179000,1654.347651,1.249222,0.781897,4.320059,5.639606
181,0.180000,1671.700948,1.256406,0.786217,4.319536,5.713372
182,0.181000,1584.934463,1.263439,0.790536,4.319024,5.344542
183,0.182000,1619.641057,1.270359,0.794855,4.318520,5.492074
184,0.183000,1567.581166,1.277241,0.799173,4.318020,5.270776
185,0.184000,1515.521275,1.283897,0.803491,4.317535,5.049478
186,0.185000,1503.952410,1.290415,0.807808,4.317061,5.000301
187,0.186000,1394.048195,1.296670,0.812125,4.316607,4.533116
188,0.187000,1411.401492,1.302725,0.816441,4.316167,4.606882
189,0.188000,1278.359548,1.308529,0.820757,4.315746,4.041343
190,0.189000,1284.143981,1.314058,0.825073,4.315346,4.065932
191,0.190000,1203.161928,1.319425,0.829388,4.314957,3.721691
192,0.191000,1133.748740,1.324466,0.833703,4.314592,3.426627
193,0.192000,1122.179875,1.329333,0.838017,4.314241,3.377449
194,0.193000,1058.551119,1.334037,0.842331,4.313901,3.106974
195,0.194000,1070.119984,1.338628,0.846645,4.313570,3.156151
196,0.195000,994.922363,1.343082,0.850958,4.313249,2.836499
197,0.196000,1006.491228,1.347398,0.855272,4.312938,2.885676
198,0.197000,994.922363,1.351714,0.859584,4.312627,2.836499
199,0.198000,977.569066,1.355967,0.863897,4.312321,2.762733
200,0.199000,1012.275660,1.360257,0.868209,4.312012,2.910265
201,0.200000,1006.491228,1.364610,0.872521,4.311698,2.885676
202,0.201000,1012.275660,1.368962,0.876832,4.311385,2.910265
