Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.67880,-0.01824
0.10000,-0.68080,-0.02443
0.20000,-0.69133,-0.03008
0.30000,-0.70440,-0.02105
0.40000,-0.71666,-0.03311
0.50000,-0.72760,-0.03874
0.60000,-0.73800,-0.02402
0.70000,-0.74840,-0.04310
0.80000,-0.75826,-0.04009
0.90000,-0.76853,-0.04706
1.00000,-0.77853,-0.04309
1.10000,-0.78853,-0.03532
1.20000,-0.79853,-0.04361
1.30000,-0.80853,-0.04658
1.40000,-0.81893,-0.04230
1.50000,-0.82853,-0.04212
1.60000,-0.83880,-0.03828
1.70000,-0.84893,-0.05472
1.80000,-0.85853,-0.04974
1.90000,-0.86893,-0.04871
2.00000,-0.87880,-0.05811
2.10000,-0.88866,-0.05893
2.20000,-0.89880,-0.06126
2.30000,-0.90840,-0.05553
2.40000,-0.91853,-0.06666
2.50000,-0.92880,-0.06482
2.60000,-0.93866,-0.05716
2.70000,-0.94880,-0.07164
2.80000,-0.95880,-0.08352
2.90000,-0.96866,-0.06841
3.00000,-0.97866,-0.07822
3.10000,-0.98880,-0.07476
3.20000,-0.99880,-0.08263
3.30000,-1.00866,-0.08379
3.40000,-1.01906,-0.08380
3.50000,-1.02866,-0.09483
3.60000,-1.03853,-0.09487
3.70000,-1.04880,-0.09580
3.80000,-1.05853,-0.09318
3.90000,-1.06866,-0.13030
4.00000,-1.07893,-0.10231
4.10000,-1.08866,-0.07947
4.20000,-1.09880,-0.11602
4.30000,-1.10880,-0.12553
4.40000,-1.11866,-0.11746
4.50000,-1.12866,-0.13419
4.60000,-1.13880,-0.13534
4.70000,-1.14880,-0.14768
4.80000,-1.15866,-0.14365
4.90000,-1.16893,-0.16104
5.00000,-1.17853,-0.15630
5.10000,-1.18840,-0.16589
5.20000,-1.19893,-0.18379
5.30000,-1.20853,-0.18715
5.40000,-1.21880,-0.19985
5.50000,-1.22893,-0.20815
5.60000,-1.23853,-0.20384
5.70000,-1.24880,-0.22030
5.80000,-1.25880,-0.23352
5.90000,-1.26866,-0.23612
6.00000,-1.27866,-0.25027
6.10000,-1.28866,-0.26136
6.20000,-1.29866,-0.26332
6.30000,-1.30853,-0.28453
6.40000,-1.31853,-0.29363
6.50000,-1.32866,-0.30175
6.60000,-1.33853,-0.31187
6.70000,-1.34866,-0.32526
6.80000,-1.35853,-0.34056
6.90000,-1.36853,-0.36077
7.00000,-1.37893,-0.37377
7.10000,-1.38853,-0.37379
7.20000,-1.39880,-0.39476
7.30000,-1.40893,-0.41143
7.40000,-1.41840,-0.42224
7.50000,-1.42880,-0.43472
7.60000,-1.43866,-0.44597
7.70000,-1.44853,-0.46583
7.80000,-1.45866,-0.47624
7.90000,-1.46853,-0.49175
8.00000,-1.47866,-0.50301
8.10000,-1.48880,-0.52025
8.20000,-1.49893,-0.54159
8.30000,-1.50880,-0.55573
8.40000,-1.51866,-0.57109
8.50000,-1.52880,-0.58418
8.60000,-1.53866,-0.59675
8.70000,-1.54880,-0.61680
8.80000,-1.55866,-0.62837
8.90000,-1.56840,-0.63562
9.00000,-1.57880,-0.65061
9.10000,-1.58866,-0.66355
9.20000,-1.59866,-0.67934
9.30000,-1.60893,-0.63781
