Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00027,-0.00655
0.10000,-0.00267,-0.02030
0.20000,-0.01307,-0.02163
0.30000,-0.02613,-0.02526
0.40000,-0.03827,-0.02419
0.50000,-0.04933,-0.02666
0.60000,-0.05933,-0.01779
0.70000,-0.07000,-0.02769
0.80000,-0.08013,-0.03104
0.90000,-0.09000,-0.02701
1.00000,-0.10027,-0.02948
1.10000,-0.11013,-0.01870
1.20000,-0.12027,-0.02628
1.30000,-0.13040,-0.02414
1.40000,-0.14067,-0.03412
1.50000,-0.15053,-0.03499
1.60000,-0.16053,-0.02484
1.70000,-0.17053,-0.03466
1.80000,-0.18013,-0.03567
1.90000,-0.19027,-0.03459
2.00000,-0.20040,-0.03179
2.10000,-0.21013,-0.03144
2.20000,-0.22053,-0.03333
2.30000,-0.23027,-0.03057
2.40000,-0.24027,-0.04370
2.50000,-0.25053,-0.04147
2.60000,-0.26027,-0.03310
2.70000,-0.27040,-0.03572
2.80000,-0.28067,-0.03805
2.90000,-0.29053,-0.04425
3.00000,-0.30040,-0.04590
3.10000,-0.31040,-0.03393
3.20000,-0.32040,-0.04240
3.30000,-0.33027,-0.04241
3.40000,-0.34040,-0.04579
3.50000,-0.35040,-0.05274
3.60000,-0.36013,-0.03438
3.70000,-0.37067,-0.04872
3.80000,-0.38027,-0.04150
3.90000,-0.39013,-0.05280
4.00000,-0.40067,-0.05249
4.10000,-0.41040,-0.04785
4.20000,-0.42040,-0.05370
4.30000,-0.43053,-0.05764
4.40000,-0.44027,-0.04996
4.50000,-0.45040,-0.04881
4.60000,-0.46053,-0.05551
4.70000,-0.47027,-0.05048
4.80000,-0.48027,-0.05597
4.90000,-0.49013,-0.05737
5.00000,-0.50027,-0.06391
5.10000,-0.51000,-0.05144
5.20000,-0.52040,-0.06307
5.30000,-0.53040,-0.05616
5.40000,-0.54000,-0.06624
5.50000,-0.55067,-0.06795
5.60000,-0.56027,-0.06068
5.70000,-0.57040,-0.06652
5.80000,-0.58067,-0.06859
5.90000,-0.59013,-0.06483
6.00000,-0.60027,-0.07177
6.10000,-0.61040,-0.06522
6.20000,-0.62013,-0.07733
6.30000,-0.63027,-0.07318
6.40000,-0.64040,-0.08072
6.50000,-0.65040,-0.07254
6.60000,-0.66040,-0.07043
6.70000,-0.67053,-0.08049
6.80000,-0.68053,-0.08113
6.90000,-0.69040,-0.07355
7.00000,-0.70053,-0.07805
7.10000,-0.71040,-0.07228
7.20000,-0.72026,-0.07844
7.30000,-0.73053,-0.07990
7.40000,-0.74026,-0.07819
7.50000,-0.75026,-0.08032
7.60000,-0.76040,-0.07519
7.70000,-0.77013,-0.08438
7.80000,-0.78053,-0.08407
7.90000,-0.79040,-0.08871
8.00000,-0.80040,-0.08705
8.10000,-0.81053,-0.08164
8.20000,-0.82040,-0.09021
8.30000,-0.83053,-0.09561
8.40000,-0.84040,-0.09325
8.50000,-0.85040,-0.09444
8.60000,-0.86013,-0.08905
8.70000,-0.87013,-0.10070
8.80000,-0.88040,-0.10172
8.90000,-0.89013,-0.10026
9.00000,-0.90040,-0.10452
9.10000,-0.91040,-0.09850
9.20000,-0.92013,-0.10836
9.30000,-0.93066,-0.11047
9.40000,-0.94040,-0.10748
9.50000,-0.95026,-0.11506
9.60000,-0.96053,-0.10656
9.70000,-0.97040,-0.12018
9.80000,-0.98026,-0.11371
9.90000,-0.99040,-0.11925
10.00000,-1.00013,-0.12452
10.10000,-1.01026,-0.11345
10.20000,-1.02040,-0.11827
10.30000,-1.03026,-0.12225
10.40000,-1.04026,-0.12684
10.50000,-1.05026,-0.13063
10.60000,-1.06053,-0.12333
10.70000,-1.07026,-0.12707
10.80000,-1.08053,-0.13218
10.90000,-1.09040,-0.13687
11.00000,-1.10013,-0.14261
11.10000,-1.11066,-0.13157
11.20000,-1.12040,-0.13808
11.30000,-1.13040,-0.14164
11.40000,-1.14040,-0.14747
11.50000,-1.15013,-0.14392
11.60000,-1.16026,-0.14394
11.70000,-1.17040,-0.14690
11.80000,-1.18026,-0.15442
11.90000,-1.19026,-0.14792
12.00000,-1.20026,-0.15087
12.10000,-1.21040,-0.14721
12.20000,-1.22040,-0.15289
12.30000,-1.23066,-0.15947
12.40000,-1.24040,-0.16495
12.50000,-1.25013,-0.16097
12.60000,-1.26040,-0.16380
12.70000,-1.27026,-0.16215
12.80000,-1.28013,-0.17362
12.90000,-1.29040,-0.17248
13.00000,-1.30013,-0.17285
13.10000,-1.31040,-0.16400
13.20000,-1.32053,-0.18586
13.30000,-1.33026,-0.18119
13.40000,-1.34040,-0.17853
13.50000,-1.35053,-0.18434
13.60000,-1.36053,-0.18347
13.70000,-1.37053,-0.18519
13.80000,-1.38040,-0.18376
13.90000,-1.39040,-0.19328
14.00000,-1.40026,-0.19119
14.10000,-1.41053,-0.18333
14.20000,-1.42013,-0.19256
14.30000,-1.43000,-0.20032
14.40000,-1.44066,-0.19798
14.50000,-1.45026,-0.19668
14.60000,-1.46040,-0.20353
14.70000,-1.47053,-0.20663
14.80000,-1.48013,-0.20910
14.90000,-1.49053,-0.20693
15.00000,-1.50053,-0.21449
15.10000,-1.51040,-0.21623
15.20000,-1.52026,-0.21437
15.30000,-1.53026,-0.21662
15.40000,-1.54026,-0.22189
15.50000,-1.55026,-0.22292
15.60000,-1.56013,-0.22014
15.70000,-1.57013,-0.22632
15.80000,-1.58013,-0.23980
15.90000,-1.59053,-0.23403
